station,date,AWND,PRCP,TMAX,TMIN,STATION_NAME,COUNTY,LAT_DEC,LON_DEC,EL_AP_M
USW00004804,1/1/2013,2.6,0.5,0.6,-8.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/2/2013,1.5,0,-5.5,-12.7,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/3/2013,3.5,0,-1.6,-12.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/5/2013,3.1,0,2.8,-8.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/6/2013,4.7,0.5,2.8,-3.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/7/2013,2.6,0,1.1,-4.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/8/2013,2.3,0,6.1,-6.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/9/2013,3.2,1,7.8,-2.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/11/2013,4.6,7.1,16.1,5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/13/2013,5.5,9.9,18.3,3.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/14/2013,3.7,0,3.3,-4.9,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/15/2013,3.2,0,0.6,-6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/16/2013,3,0,1.7,-1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/17/2013,3.6,0,3.3,-4.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/18/2013,3.9,0,1.7,-8.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/19/2013,7.2,0,11.1,0.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/25/2013,3.4,2,-4.9,-8.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/27/2013,2.4,2.8,1.1,-12.7,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/28/2013,4.9,3.6,10,0,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,1/30/2013,6.7,15,16.7,0.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/2/2013,3.8,0.5,-3.2,-12.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/4/2013,2.8,1.5,-1,-10.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/7/2013,2.7,0,8.9,-2.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/8/2013,6.4,2.5,6.1,-4.9,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/9/2013,1.7,0,2.2,-7.7,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/12/2013,3.6,0,7.2,-1.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/13/2013,2.6,0,0.6,-3.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/14/2013,4.6,0,7.8,-3.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/15/2013,2.1,1.3,1.1,-4.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/19/2013,7.9,3.8,7.8,-6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/22/2013,3.7,1.5,4.4,-3.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/23/2013,2.8,0,3.9,-1.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/24/2013,2.9,0,1.7,-3.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/25/2013,2.1,0,6.7,-6.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/26/2013,5.8,12.4,6.1,-1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/27/2013,5.7,1.8,6.1,0.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,2/28/2013,5,0.3,2.8,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/4/2013,1,0,4.4,-8.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/5/2013,4.1,8.9,3.9,-1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/6/2013,5.6,1.3,2.2,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/7/2013,3.6,0,3.9,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/8/2013,2.6,0,6.1,-3.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/10/2013,4.1,0.3,20.6,8.9,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/11/2013,4.9,16.8,15.6,3.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/12/2013,4.6,0.3,3.3,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/13/2013,6.7,0.3,1.1,-3.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/14/2013,3.4,0,5,-6.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/15/2013,2.8,3.8,10,-2.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/16/2013,3.9,2,10,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/17/2013,3.8,0,2.8,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/18/2013,6,18.5,10,0,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/22/2013,3,0,5.6,-7.7,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/23/2013,2,0,8.3,-6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/24/2013,5.2,4.8,2.8,-1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/25/2013,4,0.5,1.1,-1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/28/2013,4.3,0,10,-3.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/29/2013,2.1,0.5,12.2,-3.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/30/2013,1.5,0,13.9,-2.7,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,3/31/2013,3.8,0.8,13.3,5.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/1/2013,5.3,0,7.8,-1.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/2/2013,3.8,0,6.7,-6.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/3/2013,3.2,0,7.8,-6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/4/2013,2.3,0,11.7,-4.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/5/2013,3.4,0,13.3,0,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/6/2013,4.3,0,15,-1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/10/2013,4.9,1,27.8,14.4,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/11/2013,2.9,20.3,18.9,10,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/12/2013,5.3,3.8,14.4,5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/13/2013,4.6,0,10,2.8,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/14/2013,3.1,0,18.3,1.7,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/15/2013,4.1,0,20.6,8.3,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/16/2013,4.5,6.9,25,12.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/17/2013,3.9,3,19.4,11.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/18/2013,6.7,0,28.9,15.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/19/2013,7.6,11.2,22.2,3.9,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/20/2013,5.3,1,9.4,0.6,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/21/2013,2.5,0,11.7,-3.2,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/22/2013,2.7,0,19.4,1.1,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/24/2013,3.6,16.5,17.2,0,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
USW00004804,4/26/2013,0.9,0,16.1,-0.5,COLUMBUS OHIO STATE UNIVERSITY AP,FRANKLIN,40.08333,-83.06667,275.8
