ID,state,name,latitude,longitude,elev
US009052008,SD,SIOUX FALLS (ENVIRON. CANADA),43.7333,-96.6333,482
US10RMHS145,CO,RMHS 1.6 SSW,40.5268,-105.1113,1569.1
US10adam001,NE,JUNIATA 1.5 S,40.568,-98.5069,598
US10adam002,NE,JUNIATA 6.0 SSW,40.5093,-98.5493,601.1
US10adam003,NE,HOLSTEIN 0.1 NW,40.4663,-98.6537,615.1
US10adam004,NE,AYR 3.5 NE,40.4798,-98.4026,570
US10adam006,NE,ROSELAND 2.8 SW,40.4372,-98.5912,601.1
US10adam007,NE,HASTINGS 5.4 WSW,40.5389,-98.4713,588.9
US10adam008,NE,GLENVIL 2.3 WSW,40.4953,-98.2973,566.9
US10adam010,NE,JUNIATA 6.9 WSW,40.5532,-98.6297,622.1
US10adam011,NE,ROSELAND 5.2 SW,40.4078,-98.6161,593.1
US10adam012,NE,HASTINGS 2.3 N,40.62,-98.39,588.9
US10adam013,NE,HASTINGS 5.3 NNW,40.66,-98.42,598
US10adam015,NE,KENESAW 2.4 W,40.6258,-98.7034,632.2
US10adam016,NE,HASTINGS 3.7 N,40.64,-98.3949,598
US10adam017,NE,JUNIATA 4.8 NNE,40.6567,-98.4789,607.2
US10adam019,NE,JUNIATA 2.9 WNW,40.6114,-98.5543,619
US10adam022,NE,HASTINGS 2.2 W,40.5936,-98.4299,597.1
US10adam023,NE,JUNIATA 1.8 ENE,40.5981,-98.4732,602
US10adam024,NE,BLUE HILL 6.3 ENE,40.3901,-98.2715,548.9
US10adam025,NE,HASTINGS 1.1 NW,40.6004,-98.3986,587
US10adam027,NE,JUNIATA 1.9 ENE,40.5998,-98.4723,597.1
US10adam028,NE,HOLSTEIN 0.1 ESE,40.4653,-98.6517,616
US10adam029,NE,HASTINGS 4.4 ESE,40.5536,-98.3166,0
US10adam032,NE,BLUE HILL 2.2 NE,40.3571,-98.4208,0
US10adam033,NE,GLENVIL 8.3 SW,40.4127,-98.3538,0
US10adam034,NE,KENESAW 0.8 SE,40.6129,-98.6482,0
US10adam035,NE,JUNIATA 2.7 ENE,40.607,-98.4588,0
US10adam036,NE,HASTINGS 1.9 SSW,40.5609,-98.402,0
