time,y,x,lat,long,date,cloudhigh,cloudlow,cloudmid,ozone,pressure,surftemp,temperature,id
1,1,1,-21.2,-113.8,1/1/1995,0.5,31,2,260,1000,297.4,296.9,1-Jan
1,1,2,-21.2,-111.2956522,1/1/1995,1.5,31.5,2.5,260,1000,297.4,296.5,1-Feb
1,1,3,-21.2,-108.7913043,1/1/1995,1.5,32.5,3.5,260,1000,297.4,296,1-Mar
1,1,4,-21.2,-106.2869565,1/1/1995,1,39,4,258,1000,296.9,296.5,1-Apr
1,1,5,-21.2,-103.7826087,1/1/1995,0.5,48,4.5,258,1000,296.5,295.5,1-May
1,1,6,-21.2,-101.2782609,1/1/1995,0,50,2.5,258,1000,296.5,295,1-Jun
1,1,7,-21.2,-98.77391304,1/1/1995,0,51,4.5,256,1000,295.5,295.5,1-Jul
1,1,8,-21.2,-96.26956522,1/1/1995,0,52.5,5,258,1000,295.5,295,1-Aug
1,1,9,-21.2,-93.76521739,1/1/1995,0.5,54,8.5,256,1000,295,295,1-Sep
1,1,10,-21.2,-91.26086957,1/1/1995,1,56,11.5,258,1000,294.6,294.6,1-Oct
1,1,11,-21.2,-88.75652174,1/1/1995,1,56,11.5,258,1000,294.6,294.6,1-Nov
1,1,12,-21.2,-86.25217391,1/1/1995,1,60.5,12.5,254,1000,294.1,294.6,1-Dec
1,1,13,-21.2,-83.74782609,1/1/1995,1.5,57,19.5,254,1000,293.2,294.6,13-1
1,1,14,-21.2,-81.24347826,1/1/1995,2.5,57,20,252,1000,293.2,294.6,14-1
1,1,15,-21.2,-78.73913043,1/1/1995,1.5,53.5,22,254,1000,293.2,294.6,15-1
1,1,16,-21.2,-76.23478261,1/1/1995,1,51.5,24.5,254,995,293.6,295.5,16-1
1,1,17,-21.2,-73.73043478,1/1/1995,1,52,16.5,256,1000,295,296,17-1
1,1,18,-21.2,-71.22608696,1/1/1995,1.5,37.5,8,256,995,296.9,296.9,18-1
1,1,19,-21.2,-68.72173913,1/1/1995,14,12.5,22.5,258,690,294.6,288.3,19-1
1,1,20,-21.2,-66.2173913,1/1/1995,29.5,7,30,256,680,292.7,288.8,20-1
1,1,21,-21.2,-63.71304348,1/1/1995,22.5,17.5,23.5,258,945,300.1,301.4,21-1
1,1,22,-21.2,-61.20869565,1/1/1995,24,18.5,21,258,990,301.9,304.9,22-1
1,1,23,-21.2,-58.70434783,1/1/1995,36,12,22.5,258,990,298.3,302.3,23-1
1,1,24,-21.2,-56.2,1/1/1995,36.5,12,25,256,970,296.5,300.1,24-1
1,2,1,-18.70434783,-113.8,1/1/1995,2.5,34,4,258,1000,297.8,296.9,2-Jan
1,2,2,-18.70434783,-111.2956522,1/1/1995,2.5,34,4,258,1000,297.8,296.9,2-Feb
1,2,3,-18.70434783,-108.7913043,1/1/1995,2.5,37,4.5,258,1000,296.9,296.5,2-Mar
1,2,4,-18.70434783,-106.2869565,1/1/1995,1.5,42.5,4.5,254,1000,296.9,296.5,2-Apr
1,2,5,-18.70434783,-103.7826087,1/1/1995,1,47.5,4.5,252,1000,296.9,296,2-May
1,2,6,-18.70434783,-101.2782609,1/1/1995,0.5,47,4,254,1000,296.5,295.5,2-Jun
1,2,7,-18.70434783,-98.77391304,1/1/1995,0.5,44.5,4.5,256,1000,296.5,295,2-Jul
1,2,8,-18.70434783,-96.26956522,1/1/1995,0.5,45.5,5,254,1000,296,295.5,2-Aug
1,2,9,-18.70434783,-93.76521739,1/1/1995,0.5,50.5,5,252,1000,295.5,295,2-Sep
1,2,10,-18.70434783,-91.26086957,1/1/1995,0.5,54.5,6.5,254,1000,294.6,295,2-Oct
1,2,11,-18.70434783,-88.75652174,1/1/1995,0.5,59,7,254,1000,294.6,294.6,2-Nov
1,2,12,-18.70434783,-86.25217391,1/1/1995,1.5,60,9,256,1000,294.1,295,2-Dec
1,2,13,-18.70434783,-83.74782609,1/1/1995,2.5,57,16,254,1000,293.6,294.6,13-2
1,2,14,-18.70434783,-81.24347826,1/1/1995,3,48,23.5,254,1000,293.6,295.5,14-2
1,2,15,-18.70434783,-78.73913043,1/1/1995,3,47,20,254,1000,295,295,15-2
1,2,16,-18.70434783,-76.23478261,1/1/1995,3,46,14,256,1000,295.5,296.5,16-2
1,2,17,-18.70434783,-73.73043478,1/1/1995,3,43.5,12,256,1000,296.5,296.9,17-2
1,2,18,-18.70434783,-71.22608696,1/1/1995,13.5,14,19.5,260,790,294.1,292.2,18-2
1,2,19,-18.70434783,-68.72173913,1/1/1995,31,NA,29.5,254,630,288.8,283.2,19-2
1,2,20,-18.70434783,-66.2173913,1/1/1995,31,NA,29.5,254,630,288.8,283.2,20-2
1,2,21,-18.70434783,-63.71304348,1/1/1995,31.5,6.5,27.5,258,775,291.2,290.2,21-2
1,2,22,-18.70434783,-61.20869565,1/1/1995,26.5,13,24,262,990,298.3,303.2,22-2
1,2,23,-18.70434783,-58.70434783,1/1/1995,36,9.5,26.5,260,975,295,301.4,23-2
1,2,24,-18.70434783,-56.2,1/1/1995,36.5,13,25.5,260,995,298.7,302.3,24-2
1,3,1,-16.20869565,-113.8,1/1/1995,3.5,31,3,258,1000,297.8,296.9,3-Jan
1,3,2,-16.20869565,-111.2956522,1/1/1995,3,37.5,5,254,1000,297.4,296.9,3-Feb
1,3,3,-16.20869565,-108.7913043,1/1/1995,1.5,41,4.5,254,1000,297.4,296.5,3-Mar
1,3,4,-16.20869565,-106.2869565,1/1/1995,1,45.5,4,252,1000,296.9,296,3-Apr
1,3,5,-16.20869565,-103.7826087,1/1/1995,3,46.5,5,252,1000,296.9,296.5,3-May
1,3,6,-16.20869565,-101.2782609,1/1/1995,2.5,49,4.5,252,1000,296.5,296,3-Jun
1,3,7,-16.20869565,-98.77391304,1/1/1995,1.5,48,4.5,252,1000,296,295.5,3-Jul
1,3,8,-16.20869565,-96.26956522,1/1/1995,1.5,46.5,5,252,1000,295.5,295.5,3-Aug
1,3,9,-16.20869565,-93.76521739,1/1/1995,1,49.5,4.5,250,1000,295,295.5,3-Sep
1,3,10,-16.20869565,-91.26086957,1/1/1995,1,51,5,252,1000,295,295.5,3-Oct
1,3,11,-16.20869565,-88.75652174,1/1/1995,1,51,5,252,1000,295,295.5,3-Nov
1,3,12,-16.20869565,-86.25217391,1/1/1995,0.5,55,5.5,254,1000,294.6,295.5,3-Dec
1,3,13,-16.20869565,-83.74782609,1/1/1995,1,56.5,11.5,254,1000,294.6,295.5,13-3
1,3,14,-16.20869565,-81.24347826,1/1/1995,2.5,56,11,254,1000,295,295.5,14-3
1,3,15,-16.20869565,-78.73913043,1/1/1995,4,48.5,18.5,254,985,295.5,295.5,15-3
1,3,16,-16.20869565,-76.23478261,1/1/1995,7,41,16,254,1000,296,296.5,16-3
1,3,17,-16.20869565,-73.73043478,1/1/1995,16,28.5,17.5,256,920,295.5,293.6,17-3
1,3,18,-16.20869565,-71.22608696,1/1/1995,28.5,10.5,25.5,254,770,289.3,287.3,18-3
1,3,19,-16.20869565,-68.72173913,1/1/1995,35.5,6.5,28.5,252,690,284.2,282.2,19-3
1,3,20,-16.20869565,-66.2173913,1/1/1995,39,5,26.5,254,825,288.8,290.2,20-3
1,3,21,-16.20869565,-63.71304348,1/1/1995,34,7,24.5,256,995,293.6,301,21-3
1,3,22,-16.20869565,-61.20869565,1/1/1995,31,8.5,32,258,1000,294.1,301,22-3
1,3,23,-16.20869565,-58.70434783,1/1/1995,39,7.5,33,258,995,295,301.9,23-3
1,3,24,-16.20869565,-56.2,1/1/1995,45,9.5,28,258,995,296.5,301,24-3
1,4,1,-13.71304348,-113.8,1/1/1995,4,34.5,3.5,254,1000,298.3,297.8,4-Jan
1,4,2,-13.71304348,-111.2956522,1/1/1995,3,36,6.5,256,1000,298.3,297.4,4-Feb
1,4,3,-13.71304348,-108.7913043,1/1/1995,3,39,6,254,1000,297.4,297.4,4-Mar
1,4,4,-13.71304348,-106.2869565,1/1/1995,3.5,41,4.5,250,1000,297.4,296.9,4-Apr
1,4,5,-13.71304348,-103.7826087,1/1/1995,3,44,4,250,1000,297.4,296.9,4-May
1,4,6,-13.71304348,-101.2782609,1/1/1995,2.5,45.5,3,250,1000,296.5,296.5,4-Jun
1,4,7,-13.71304348,-98.77391304,1/1/1995,1.5,46.5,2.5,250,1000,296.5,296,4-Jul
1,4,8,-13.71304348,-96.26956522,1/1/1995,1,45,3,252,1000,296,296.5,4-Aug
1,4,9,-13.71304348,-93.76521739,1/1/1995,2,44,3.5,250,1000,295.5,295.5,4-Sep
1,4,10,-13.71304348,-91.26086957,1/1/1995,2,47,5.5,250,1000,295.5,296,4-Oct
1,4,11,-13.71304348,-88.75652174,1/1/1995,2,50.5,6.5,252,1000,295.5,296,4-Nov
1,4,12,-13.71304348,-86.25217391,1/1/1995,1.5,52,5,254,1000,296,296.5,4-Dec
1,4,13,-13.71304348,-83.74782609,1/1/1995,1,52.5,5,252,1000,296.9,296.5,13-4
1,4,14,-13.71304348,-81.24347826,1/1/1995,1.5,46.5,6.5,256,1000,296.9,296.9,14-4
1,4,15,-13.71304348,-78.73913043,1/1/1995,4.5,35.5,13.5,256,1000,296,296.5,15-4
1,4,16,-13.71304348,-76.23478261,1/1/1995,27,11,23.5,260,860,290.2,293.6,16-4
1,4,17,-13.71304348,-73.73043478,1/1/1995,41,3.5,29.5,248,695,282.2,281.6,17-4
1,4,18,-13.71304348,-71.22608696,1/1/1995,42.5,4.5,26.5,244,710,283.2,282.2,18-4
1,4,19,-13.71304348,-68.72173913,1/1/1995,32,6,28,256,980,292.2,299.6,19-4
1,4,20,-13.71304348,-66.2173913,1/1/1995,33,8,28,256,1000,294.6,302.8,20-4
1,4,21,-13.71304348,-63.71304348,1/1/1995,39,8.5,30,256,980,293.6,299.2,21-4
1,4,22,-13.71304348,-61.20869565,1/1/1995,43,7,32,258,970,292.2,298.7,22-4
1,4,23,-13.71304348,-58.70434783,1/1/1995,48,8,27.5,260,985,293.6,299.2,23-4
1,4,24,-13.71304348,-56.2,1/1/1995,45.5,9,27.5,264,970,294.6,299.6,24-4
1,5,1,-11.2173913,-113.8,1/1/1995,2,34.5,4.5,252,1000,298.3,298.3,5-Jan
1,5,2,-11.2173913,-111.2956522,1/1/1995,3,32,4.5,252,1000,298.3,297.8,5-Feb
1,5,3,-11.2173913,-108.7913043,1/1/1995,4,30,3.5,250,1000,298.3,297.4,5-Mar
1,5,4,-11.2173913,-106.2869565,1/1/1995,3.5,30.5,3.5,250,1000,297.8,296.9,5-Apr
1,5,5,-11.2173913,-103.7826087,1/1/1995,2,36.5,3.5,252,1000,297.4,296.9,5-May
1,5,6,-11.2173913,-101.2782609,1/1/1995,1,42,2.5,250,1000,297.4,296.9,5-Jun
1,5,7,-11.2173913,-98.77391304,1/1/1995,1,46,3,250,1000,296.9,296.9,5-Jul
