lot_size,sqft,sale_price,sale_month,std_sqft,std_lot
25264.8,2436,145000,Oct-19,1.07575664,0.393395401
5808,1499,215000,Oct-19,-0.364672717,-0.818263558
8712,1735,312500,Oct-19,-0.001875141,-0.637418938
12196.8,1442,176000,Oct-19,-0.452297555,-0.420405393
19602,1808,20000,Oct-19,0.110346143,0.04074839
7405,1040,134000,Oct-19,-1.070283255,-0.718811472
16117.2,1467,220000,Sep-19,-0.413865608,-0.176265154
1,1524,175000,Sep-19,-0.32624077,-1.179890526
21344.4,1200,80000,Sep-19,-0.824318797,0.149255163
8330,1842,216000,Sep-19,0.16261359,-0.661207727
19166.4,3398,330000,Sep-19,2.554617943,0.013621697
1,896,103500,Sep-19,-1.291651267,-1.179890526
1,896,103500,Sep-19,-1.291651267,-1.179890526
44866.8,1382,1.00E+05,Sep-19,-0.544534226,1.614096592
47916,1967,255000,Aug-19,0.354773323,1.803983443
8276,2937,247000,Aug-19,1.845932849,-0.66457054
21344.4,2293,234000,Aug-19,0.855925906,0.149255163
6534,1410,229000,Aug-19,-0.501490446,-0.773052403
7840,2379,230000,Aug-19,0.988131802,-0.691722143
4791,911,151000,Aug-19,-1.268592099,-0.88159654
68824.8,3247,315000,Aug-19,2.322488986,3.106064713
32234.4,1852,230000,Aug-19,0.177986369,0.827422491
14374.8,2514,235000,Aug-19,1.195664313,-0.284771927
14810.4,3251,341000,Aug-19,2.328638098,-0.257645234
16552.8,2555,2.00E+05,Aug-19,1.258692706,-0.149138461
1,1976,181691,Aug-19,0.368608824,-1.179890526
14810.4,1940,219000,Aug-19,0.313266821,-0.257645234
35719.2,1349,159900,Jul-19,-0.595264396,1.044436036
8712,1527,234900,Jul-19,-0.321628936,-0.637418938
12196.8,1467,165000,Jul-19,-0.413865608,-0.420405393
5967,840,205000,Jul-19,-1.377738828,-0.808361942
14810.4,1107,161500,Jul-19,-0.967285639,-0.257645234
12196.8,2793,319000,Jul-19,1.624564837,-0.420405393
75794.4,1440,228940,Jul-19,-0.45537211,3.540091803
1,1040,117500,Jul-19,-1.070283255,-1.179890526
11761.2,2612,270000,Jul-19,1.346317544,-0.447532086
14810.4,1144,173000,Jul-19,-0.910406358,-0.257645234
20473.2,2319,242000,Jul-19,0.89589513,0.095001777
4950,1764,149150,Jul-19,0.042705917,-0.871694924
9801,1064,136000,Jul-19,-1.033388587,-0.569602205
30927.6,1080,171717,Jul-19,-1.008792141,0.746042412
9801,962,45000,Jul-19,-1.190190929,-0.569602205
26136,2560,205000,Jul-19,1.266379095,0.447648787
14810.4,1840,185000,Jul-19,0.159539034,-0.257645234
6080,1464,385000,Jul-19,-0.418477442,-0.801324944
13068,2280,243000,Jul-19,0.835941294,-0.366152006
16117.2,2044,175000,Jun-19,0.473143718,-0.176265154
25700.4,3015,335000,Jun-19,1.965840522,0.420522094
13503.6,1464,219000,Jun-19,-0.418477442,-0.339025313
14374.8,3075,397500,Jun-19,2.058077194,-0.284771927
18730.8,2764,3.00E+05,Jun-19,1.579983779,-0.013504996
14810.4,2112,180000,Jun-19,0.577678613,-0.257645234
10018,1772,212500,Jun-19,0.05500414,-0.556088678
23958,2326,359000,Jun-19,0.906656075,0.312015322
21780,1474,238000,Jun-19,-0.403104663,0.176381856
19166.4,3578,334900,Jun-19,2.831327959,0.013621697
22215.6,2355,360500,Jun-19,0.951237133,0.203508549
8322,1616,226000,Jun-19,-0.184811207,-0.661705922
36154.8,2070,302000,Jun-19,0.513112943,1.071562729
13068,1326,129500,Jun-19,-0.630621787,-0.366152006
13068,1326,129500,Jun-19,-0.630621787,-0.366152006
28314,2214,245000,Jun-19,0.734480955,0.583282253
18295.2,1826,158000,Jun-19,0.138017144,-0.040631689
29620.8,1758,211200,Jun-19,0.03348225,0.664662332
76230,1290,110000,Jun-19,-0.68596379,3.567218496
28749.6,1251,184000,Jun-19,-0.745917626,0.610408946
6080,1512,375000,Jun-19,-0.344688104,-0.801324944
1600,1254,1.00E+05,Jun-19,-0.741305793,-1.08031389
14810.4,1830,182700,Jun-19,0.144166256,-0.257645234
15246,1080,170000,Jun-19,-1.008792141,-0.230518541
12632.4,1377,140000,May-19,-0.552220616,-0.393278699
9147,1250,135000,May-19,-0.747454904,-0.610329609
1,2474,297400,May-19,1.134173199,-1.179890526
1600,1254,104000,May-19,-0.741305793,-1.08031389
28314,1239,155500,May-19,-0.764364961,0.583282253
20908.8,1177,135000,May-19,-0.859676188,0.12212847
7700,1320,235000,May-19,-0.639845454,-0.700440548
20908.8,1728,245000,May-19,-0.012636086,0.12212847
32234.4,2253,208000,May-19,0.794434791,0.827422491
8276,1025,142000,May-19,-1.093342423,-0.66457054
10454,1486,203500,May-19,-0.384657329,-0.528937075
8276,1760,288155,Apr-19,0.036556805,-0.66457054
6969,1609,2.00E+05,Apr-19,-0.195572152,-0.745963075
10292,1144,136900,Apr-19,-0.910406358,-0.539025514
17859.6,1556,224000,Apr-19,-0.277047878,-0.067758382
7405,1176,180000,Apr-19,-0.861213466,-0.718811472
26136,1875,193000,Apr-19,0.21334376,0.447648787
11325.6,1344,153550,Apr-19,-0.602950785,-0.474658779
20037.6,2339,205000,Apr-19,0.926640688,0.067875084
71438.4,1734,171900,Apr-19,-0.003412419,3.268824872
38768.4,1884,3230,Apr-19,0.22717926,1.234322888
52272,3078,378000,Apr-19,2.062689028,2.075250375
4860,1201,2.00E+05,Apr-19,-0.822781519,-0.877299612
4280,1408,220000,Apr-19,-0.504565002,-0.913418717
4389,1404,245000,Apr-19,-0.510714113,-0.906630816
43124.4,1296,72000,Apr-19,-0.676740123,1.505589819
23958,1552,184900,Apr-19,-0.28319699,0.312015322
17859.6,3595,329000,Apr-19,2.857461682,-0.067758382
